cohort,T,n,modal_all,source_line,splits,D_B,naive_SE_B,SE_B,line_B,D_KP,naive_SE_KP,SE_KP,line_KP,regime,modal_event,ordering_line
metabric,4,1904,0.3771,10,20,0.00761,0.00157,0.00485,25,-0.00024,7e-05,0.00022,26,R1,0.2502,37
metabric,6,1904,0.2621,46,20,0.00394,0.00108,0.00333,61,-0.00013,4e-05,0.00012,62,R1,0.2004,38
metabric,10,1904,0.1786,82,20,0.00164,0.00075,0.00232,97,-8e-05,2e-05,7e-05,98,R1,0.1006,39
metabric,20,1904,0.1092,118,20,-2e-05,0.00044,0.00135,133,-4e-05,1e-05,4e-05,134,R1,0.0517,40
nwtco,4,4028,0.8488,154,20,-5e-05,0.00013,0.00041,169,-2e-05,1e-05,2e-05,170,R1,0.2539,33
nwtco,6,4028,0.7964,190,20,-9e-05,9e-05,0.00029,205,-1e-05,0.0,1e-05,206,R1,0.2102,34
nwtco,10,4028,0.7654,226,20,-8e-05,6e-05,0.00017,241,-1e-05,0.0,1e-05,242,R1,0.1086,35
nwtco,20,4028,0.7157,262,20,-9e-05,3e-05,8e-05,277,-0.0,0.0,1e-05,278,R1,0.0595,36
flchain,4,7874,0.6929,298,20,0.00151,0.00082,0.00253,313,-0.00194,0.00077,0.00238,314,R1,0.2503,21
flchain,6,7874,0.6106,334,20,0.00044,0.00074,0.00229,349,-0.00141,0.00065,0.00203,350,R1,0.2006,22
flchain,10,7874,0.5575,370,20,0.00036,0.0002,0.00062,385,-0.00025,0.0001,0.0003,386,R1,0.101,23
flchain,20,7874,0.4637,406,20,2e-05,0.0001,0.0003,421,-0.0001,4e-05,0.00012,422,R1,0.0507,24
support-pycox,4,8873,0.4898,442,20,0.00892,0.00056,0.00173,457,-6e-05,2e-05,7e-05,458,R1,0.2614,25
support-pycox,6,8873,0.3903,478,20,0.00416,0.00038,0.00116,493,-3e-05,1e-05,3e-05,494,R1,0.2071,26
support-pycox,10,8873,0.3027,514,20,0.0017,0.00025,0.00077,529,-1e-05,0.0,1e-05,530,R1,0.1175,27
support-pycox,20,8873,0.1856,550,20,0.00042,0.00015,0.00045,565,-0.0,0.0,1e-05,566,R1,0.0611,28
drsa/clinic,5,4828,0.773,586,20,0.10464,0.00246,0.00762,599,-0.00069,0.00019,0.0006,600,R2,0.8374,17
drsa/clinic,10,4828,0.6313,648,20,0.05785,0.00208,0.00643,663,-0.00011,0.00034,0.00104,664,R2,0.7095,18
drsa/clinic,25,4828,0.4745,684,20,0.02269,0.00136,0.00422,699,-0.00022,7e-05,0.00023,700,R2,0.5406,19
drsa/clinic,50,4828,0.3546,720,20,0.00842,0.00081,0.00252,735,-0.0001,4e-05,0.00012,736,R2,0.404,20
support2/slos,6,9105,0.4814,756,20,0.03928,0.00144,0.00446,769,-0.00027,0.00015,0.00045,770,R2,0.4912,7
support2/slos,10,9105,0.3063,818,20,0.01839,0.00099,0.00305,831,-0.00018,8e-05,0.00024,832,R2,0.3306,8
support2/slos,15,9105,0.2699,880,20,0.01019,0.00075,0.00233,893,-0.00013,4e-05,0.00013,894,R2,0.2818,9
support2/slos,20,9105,0.217,942,20,0.00624,0.00057,0.00177,957,-8e-05,3e-05,8e-05,958,R2,0.2179,10
support2/slos,30,9105,0.145,978,20,0.00257,0.00042,0.0013,993,-4e-05,1e-05,4e-05,994,R2,0.1527,11
support2/slos,60,9105,0.0756,1014,20,0.00041,0.00022,0.00069,1029,-1e-05,0.0,1e-05,1030,R2,0.0776,12
sparcs/drg302,6,34233,0.9023,1050,20,0.29336,0.00084,0.00261,1063,0.00135,0.00041,0.00128,1064,R2,0.9032,13
sparcs/drg302,10,34233,0.6673,1112,20,0.14313,0.00085,0.00264,1125,-0.00031,0.00023,0.00071,1126,R2,0.6679,14
sparcs/drg302,15,34233,0.7184,1174,20,0.16779,0.00113,0.0035,1188,0.00045,8e-05,0.00025,1189,R2,0.7191,15
sparcs/drg302,30,34233,0.5448,1237,20,0.06707,0.00075,0.00232,1250,0.00024,0.0002,0.0006,1251,R2,0.5454,16
drsa/music,6,50000,0.4315,1299,20,0.02025,0.00039,0.00122,1312,-0.0,0.0,1e-05,1313,R2,0.467,29
drsa/music,12,50000,0.2331,1361,20,0.00736,0.00027,0.00082,1374,-0.0,0.0,0.0,1375,R2,0.2417,30
drsa/music,30,50000,0.0955,1423,20,0.00134,0.00013,0.0004,1436,-0.0,0.0,0.0,1437,R2,0.102,31
drsa/music,60,50000,0.0487,1485,20,0.00028,7e-05,0.00022,1498,-0.0,0.0,0.0,1499,R2,0.0534,32
