cohort,n,T,modal_all,D_B,SE_B,D_KP,SE_KP,source_line
sparcs/drg640,50000,6,0.9884,0.42344,0.00131,0.0034,0.00051,9
sparcs/drg640,50000,15,0.6489,0.1777,0.00217,0.00048,0.0015,10
sparcs/drg640,50000,30,0.5831,0.10006,0.00187,0.00067,0.00152,11
sparcs/drg560,50000,6,0.99,0.42706,0.00311,0.00188,0.00221,12
sparcs/drg560,50000,15,0.6525,0.19123,0.00296,0.00017,0.0015,13
sparcs/drg560,50000,30,0.6012,0.13561,0.00258,0.0004,0.00044,14
sparcs/drg540,50000,6,0.9372,0.34261,0.00217,0.00455,0.00075,15
sparcs/drg540,50000,15,0.7754,0.21119,0.00244,0.00175,0.00029,16
sparcs/drg540,50000,30,0.4657,0.07957,0.00198,0.00017,0.00011,17
sparcs/drg720,50000,6,0.4207,0.05641,0.00176,0.00037,0.00022,18
sparcs/drg720,50000,15,0.1946,0.01167,0.00097,-1e-05,6e-05,19
sparcs/drg720,50000,30,0.099,0.00306,0.00056,-1e-05,2e-05,20
