cohort,T,n,modal_all,source_line,splits,D_B,naive_SE_B,SE_B,line_B,D_KP,naive_SE_KP,SE_KP,line_KP,regime,modal_event,ordering_line
support2/slos,6,9105,0.4814,756,20,0.03928,0.00144,0.00446,769,-0.00027,0.00015,0.00045,770,R2,0.4912,7
support2/slos,10,9105,0.3063,818,20,0.01839,0.00099,0.00305,831,-0.00018,8e-05,0.00024,832,R2,0.3306,8
support2/slos,15,9105,0.2699,880,20,0.01019,0.00075,0.00233,893,-0.00013,4e-05,0.00013,894,R2,0.2818,9
support2/slos,20,9105,0.217,942,20,0.00624,0.00057,0.00177,957,-8e-05,3e-05,8e-05,958,R2,0.2179,10
support2/slos,30,9105,0.145,978,20,0.00257,0.00042,0.0013,993,-4e-05,1e-05,4e-05,994,R2,0.1527,11
support2/slos,60,9105,0.0756,1014,20,0.00041,0.00022,0.00069,1029,-1e-05,0.0,1e-05,1030,R2,0.0776,12
drsa/music,6,50000,0.4315,1299,20,0.02025,0.00039,0.00122,1312,-0.0,0.0,1e-05,1313,R2,0.467,29
drsa/music,12,50000,0.2331,1361,20,0.00736,0.00027,0.00082,1374,-0.0,0.0,0.0,1375,R2,0.2417,30
drsa/music,30,50000,0.0955,1423,20,0.00134,0.00013,0.0004,1436,-0.0,0.0,0.0,1437,R2,0.102,31
drsa/music,60,50000,0.0487,1485,20,0.00028,7e-05,0.00022,1498,-0.0,0.0,0.0,1499,R2,0.0534,32
