n,T,rows_per_bin,target,modal_all,modal_event,events_per_bin,D_B,SE_B,D_base,D_coef,source_line
1000,5,200,low,0.798,0.255,48,-0.00047,0.0018,-0.00041,-6e-05,11
1000,5,200,mid,0.444,0.369,123,0.01294,0.00753,0.01291,3e-05,12
1000,5,200,high,0.504,0.575,175,0.09281,0.02279,0.08785,0.00496,13
1000,10,100,low,0.643,0.16,38,-0.00046,0.00208,-0.00036,-0.0001,14
1000,10,100,mid,0.253,0.293,77,0.01302,0.00661,0.01305,-3e-05,15
1000,10,100,high,0.5,0.524,95,0.07405,0.01403,0.07445,-0.0004,16
1000,20,50,low,0.46,0.108,28,-0.00083,0.00193,-0.00078,-5e-05,17
1000,20,50,mid,0.235,0.261,45,0.01293,0.01019,0.01342,-0.00049,18
1000,20,50,high,0.503,0.51,49,0.10423,0.01875,0.09877,0.00546,19
4000,5,800,low,0.807,0.252,184,0.00057,0.00069,0.00058,-1e-05,20
4000,5,800,mid,0.45,0.381,487,0.01328,0.00324,0.01295,0.00033,21
4000,5,800,high,0.505,0.578,699,0.0907,0.01,0.08403,0.00667,22
4000,10,400,low,0.648,0.159,151,0.00011,0.00082,0.00012,-1e-05,23
4000,10,400,mid,0.244,0.299,312,0.01358,0.00449,0.01375,-0.00017,24
4000,10,400,high,0.503,0.528,381,0.08486,0.00893,0.08034,0.00451,25
4000,20,200,low,0.46,0.106,111,0.00068,0.00081,0.00069,-1e-05,26
4000,20,200,mid,0.231,0.257,180,0.014,0.00275,0.01369,0.0003,27
4000,20,200,high,0.502,0.509,197,0.08643,0.00752,0.08196,0.00447,28
16000,5,3200,low,0.805,0.25,743,0.00028,0.0003,0.00027,1e-05,29
16000,5,3200,mid,0.449,0.378,1951,0.01383,0.00137,0.01372,0.0001,30
16000,5,3200,high,0.502,0.574,2796,0.08705,0.00437,0.08138,0.00567,31
16000,10,1600,low,0.647,0.155,605,0.00036,0.00045,0.00036,1e-05,32
16000,10,1600,mid,0.245,0.297,1245,0.01293,0.00217,0.01259,0.00034,33
16000,10,1600,high,0.503,0.528,1525,0.09062,0.00609,0.08458,0.00604,34
16000,20,800,low,0.46,0.106,443,0.00042,0.00049,0.00042,0.0,35
16000,20,800,mid,0.23,0.256,719,0.01447,0.00211,0.0143,0.00017,36
16000,20,800,high,0.503,0.51,789,0.0912,0.0036,0.08513,0.00607,37
