shape,censor_pct,n,T,modal_all,D_B,SE_B,bias_cox_pct,bias_grouped_pct,source_line
0.8,0,500,2,0.694,0.1738,0.02204,34.0,8.0,7
0.8,0,500,4,0.561,0.09736,0.03307,20.6,2.0,8
0.8,0,500,8,0.399,0.04823,0.02039,10.9,2.2,9
0.8,0,500,20,0.249,0.01651,0.01545,3.7,1.9,10
0.8,0,500,40,0.191,0.02792,0.02182,3.1,3.5,11
0.8,0,2000,2,0.692,0.17792,0.01328,34.9,1.3,12
0.8,0,2000,4,0.546,0.10056,0.01369,19.0,2.3,13
0.8,0,2000,8,0.405,0.04927,0.00889,9.7,1.0,14
0.8,0,2000,20,0.246,0.01099,0.00655,2.1,1.0,15
0.8,0,2000,40,0.189,0.00409,0.00302,1.7,1.6,16
0.8,0,10000,2,0.691,0.17259,0.00665,35.6,0.5,17
0.8,0,10000,4,0.548,0.1016,0.00555,20.5,0.5,18
0.8,0,10000,8,0.403,0.04594,0.00364,9.9,0.5,19
0.8,0,10000,20,0.247,0.01292,0.00164,3.0,0.5,20
0.8,0,10000,40,0.19,0.00341,0.00129,1.2,0.5,21
0.8,20,500,2,0.744,0.13709,0.02449,36.7,12.6,22
0.8,20,500,4,0.587,0.06646,0.0292,20.2,2.7,23
0.8,20,500,8,0.439,0.03335,0.02248,9.6,5.3,24
0.8,20,500,20,0.261,0.02559,0.02423,5.4,4.2,25
0.8,20,500,40,0.169,0.02207,0.01684,3.1,3.5,26
0.8,20,2000,2,0.747,0.13284,0.01806,34.5,8.7,27
0.8,20,2000,4,0.593,0.07962,0.01189,20.7,1.4,28
0.8,20,2000,8,0.436,0.04022,0.00795,10.5,1.6,29
0.8,20,2000,20,0.26,0.01087,0.00358,2.8,1.5,30
0.8,20,2000,40,0.168,0.00321,0.0029,2.7,1.9,31
0.8,20,10000,2,0.748,0.13736,0.00566,36.2,11.6,32
0.8,20,10000,4,0.59,0.08787,0.00564,21.6,2.9,33
0.8,20,10000,8,0.433,0.04457,0.00315,11.1,1.1,34
0.8,20,10000,20,0.262,0.01253,0.00209,3.2,0.7,35
0.8,20,10000,40,0.167,0.004,0.00141,1.0,0.7,36
0.8,40,500,2,0.788,0.10202,0.02163,35.3,11.4,37
0.8,40,500,4,0.632,0.08664,0.02387,23.4,6.4,38
0.8,40,500,8,0.467,0.05531,0.02171,10.2,6.3,39
0.8,40,500,20,0.279,0.02852,0.01585,2.9,4.7,40
0.8,40,500,40,0.177,0.01183,0.01238,5.6,7.0,41
0.8,40,2000,2,0.795,0.11062,0.01208,37.1,17.1,42
0.8,40,2000,4,0.633,0.0764,0.01275,22.9,5.8,43
0.8,40,2000,8,0.464,0.04194,0.00928,10.9,2.2,44
0.8,40,2000,20,0.275,0.01214,0.00568,3.1,1.2,45
0.8,40,2000,40,0.174,0.00481,0.00529,1.7,1.4,46
0.8,40,10000,2,0.793,0.11002,0.00629,35.5,15.5,47
0.8,40,10000,4,0.631,0.07689,0.00387,22.4,6.0,48
0.8,40,10000,8,0.461,0.04038,0.00365,11.2,1.2,49
0.8,40,10000,20,0.276,0.01327,0.00203,2.9,0.5,50
0.8,40,10000,40,0.176,0.00419,0.00122,1.6,0.4,51
1.0,0,500,2,0.719,0.19817,0.02386,38.4,4.6,52
1.0,0,500,4,0.535,0.09571,0.02741,21.3,3.9,53
1.0,0,500,8,0.357,0.02516,0.01739,7.7,2.2,54
1.0,0,500,20,0.188,0.0013,0.00628,3.9,4.3,55
1.0,0,500,40,0.152,0.02642,0.02268,5.1,5.4,56
1.0,0,2000,2,0.709,0.202,0.01644,36.9,1.0,57
1.0,0,2000,4,0.533,0.10077,0.01021,19.3,0.8,58
1.0,0,2000,8,0.356,0.0402,0.00762,6.8,2.0,59
1.0,0,2000,20,0.183,0.00657,0.00483,2.6,1.4,60
1.0,0,2000,40,0.148,0.00075,0.00296,1.3,1.2,61
1.0,0,10000,2,0.711,0.19553,0.00601,37.0,0.8,62
1.0,0,10000,4,0.531,0.09726,0.00438,19.6,0.6,63
1.0,0,10000,8,0.358,0.04035,0.00376,7.5,1.0,64
1.0,0,10000,20,0.184,0.00856,0.00139,2.9,1.2,65
1.0,0,10000,40,0.149,0.00165,0.00111,1.1,0.6,66
1.0,20,500,2,0.768,0.12132,0.03242,39.7,15.0,67
1.0,20,500,4,0.581,0.06611,0.02778,20.1,3.8,68
1.0,20,500,8,0.389,0.02369,0.01914,7.5,2.7,69
1.0,20,500,20,0.197,0.02067,0.0215,4.8,5.3,70
1.0,20,500,40,0.116,0.02227,0.01346,5.4,6.6,71
1.0,20,2000,2,0.764,0.14221,0.01359,38.1,13.7,72
1.0,20,2000,4,0.577,0.08449,0.01137,18.7,2.6,73
1.0,20,2000,8,0.395,0.03336,0.01176,10.4,2.8,74
1.0,20,2000,20,0.199,0.00832,0.0036,2.4,1.6,75
1.0,20,2000,40,0.113,0.00242,0.00382,1.3,1.2,76
1.0,20,10000,2,0.762,0.14298,0.0057,37.8,14.0,77
1.0,20,10000,4,0.576,0.08376,0.00468,20.9,3.7,78
1.0,20,10000,8,0.39,0.03707,0.00364,8.9,1.3,79
1.0,20,10000,20,0.199,0.00764,0.00178,2.0,1.0,80
1.0,20,10000,40,0.114,0.00096,0.00094,0.8,0.7,81
1.0,40,500,2,0.804,0.09454,0.02827,36.2,15.7,82
1.0,40,500,4,0.619,0.06425,0.02216,19.9,4.2,83
1.0,40,500,8,0.414,0.02254,0.01545,6.8,3.7,84
1.0,40,500,20,0.217,0.02524,0.02836,3.2,3.9,85
1.0,40,500,40,0.127,0.01454,0.01725,4.5,4.4,86
1.0,40,2000,2,0.806,0.11584,0.01402,37.4,20.6,87
1.0,40,2000,4,0.62,0.07208,0.00879,22.8,8.7,88
1.0,40,2000,8,0.417,0.02969,0.0071,7.7,2.5,89
1.0,40,2000,20,0.216,0.00554,0.00322,2.6,1.8,90
1.0,40,2000,40,0.124,0.00089,0.0034,2.6,3.1,91
1.0,40,10000,2,0.808,0.10999,0.00342,37.6,19.9,92
1.0,40,10000,4,0.618,0.07268,0.00334,20.9,6.1,93
1.0,40,10000,8,0.418,0.03136,0.00376,9.5,2.0,94
1.0,40,10000,20,0.216,0.00738,0.00153,2.3,0.9,95
1.0,40,10000,40,0.121,0.00156,0.00091,1.6,1.0,96
1.5,0,500,2,0.757,0.24438,0.02933,44.4,3.1,97
1.5,0,500,4,0.499,0.10931,0.0176,17.1,4.4,98
1.5,0,500,8,0.259,0.0323,0.01795,5.2,3.3,99
1.5,0,500,20,0.123,0.00593,0.01745,2.6,3.6,100
1.5,0,500,40,0.077,0.02142,0.01643,4.0,3.6,101
1.5,0,2000,2,0.761,0.24578,0.01195,43.0,2.4,102
1.5,0,2000,4,0.503,0.11462,0.01291,19.9,2.0,103
1.5,0,2000,8,0.257,0.03443,0.00899,5.4,1.0,104
1.5,0,2000,20,0.12,0.00677,0.00403,1.4,0.8,105
1.5,0,2000,40,0.072,-3e-05,0.00293,1.7,1.3,106
1.5,0,10000,2,0.759,0.2525,0.00777,42.7,1.3,107
1.5,0,10000,4,0.493,0.1138,0.00639,18.5,0.9,108
1.5,0,10000,8,0.255,0.03717,0.00404,5.5,0.4,109
1.5,0,10000,20,0.117,0.00737,0.00121,1.4,0.6,110
1.5,0,10000,40,0.074,0.00142,0.00093,0.8,0.7,111
1.5,20,500,2,0.804,0.16088,0.03616,45.8,24.4,112
1.5,20,500,4,0.541,0.08771,0.02148,17.4,1.4,113
1.5,20,500,8,0.301,0.02081,0.01852,5.6,2.3,114
1.5,20,500,20,0.138,0.01705,0.02063,3.2,4.1,115
1.5,20,500,40,0.076,0.02094,0.01814,2.2,2.7,116
1.5,20,2000,2,0.805,0.16348,0.01254,44.4,23.0,117
1.5,20,2000,4,0.543,0.08318,0.00988,19.8,5.9,118
1.5,20,2000,8,0.289,0.02994,0.0089,7.4,2.1,119
1.5,20,2000,20,0.128,0.00313,0.00391,1.4,1.4,120
1.5,20,2000,40,0.069,9e-05,0.00212,1.6,1.9,121
