cohort,metric,difference,SE
rotgbsg,nll,0.00489,0.00798
rotgbsg,c_antolini,0.001,0.00528
rotgbsg,c_uno,0.00121,0.0052
rotgbsg,ibs,-0.00018,0.00168
rotgbsg,ici,-0.00034,0.00783
metabric,nll,0.00686,0.00482
metabric,c_antolini,0.00265,0.00311
metabric,c_uno,0.00196,0.00242
metabric,ibs,0.00096,0.0008
metabric,ici,0.0034,0.00745
nwtco,nll,0.00216,0.00264
nwtco,c_antolini,0.00043,0.00396
nwtco,c_uno,0.00054,0.0041
nwtco,ibs,-0.00053,0.00046
nwtco,ici,0.0009,0.00264
flchain,nll,0.01302,0.03177
flchain,c_antolini,2e-05,0.0012
flchain,c_uno,0.00021,0.00117
flchain,ibs,-0.00023,0.00029
flchain,ici,0.00022,0.00212
support-pycox,nll,0.00096,0.00275
support-pycox,c_antolini,-0.00165,0.00231
support-pycox,c_uno,-0.00154,0.00219
support-pycox,ibs,-0.00024,0.00042
support-pycox,ici,0.001,0.00436
