==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       0.8    0%    500   2  0.689   240  +0.17362  +0.01393  +0.05544  +0.04881  -0.00010     0.659     1.599    1.013   33.9%   60.8%    4.4%  20/20
       0.8    0%    500   4  0.545   192  +0.08751  +0.00817  +0.02912  +0.03492  -0.00004     0.806     1.411    1.024   20.4%   38.8%    3.4%  20/20
       0.8    0%    500   8  0.402   140  +0.04095  -0.00045  +0.01893  +0.01033  -0.00010     0.900     1.239    1.005   11.0%   22.6%    3.4%  20/20
       0.8    0%    500  20  0.248    86  +0.01286  -0.00104  +0.00293  +0.00446  +0.00070     0.995     1.142    1.031    4.2%   14.2%    4.3%  20/20
       0.8    0%    500  40  0.186    56  +0.02738  -0.00100  +0.00540  -0.00664  -0.00509     1.017     1.099    1.032    3.0%   10.6%    3.9%  20/20
       0.8    0%   2000   2  0.690   961  +0.18184  +0.01576  +0.04579  +0.05250  -0.00001     0.662     1.632    1.033   33.5%   63.9%    3.6%  20/20
       0.8    0%   2000   4  0.552   772  +0.10048  +0.00736  +0.02585  +0.03052  -0.00001     0.786     1.374    0.997   21.6%   37.6%    1.5%  20/20
       0.8    0%   2000   8  0.409   571  +0.04688  +0.00149  +0.01442  +0.01365  -0.00001     0.892     1.233    1.000   10.7%   23.5%    1.1%  20/20
       0.8    0%   2000  20  0.246   342  +0.01248  +0.00029  +0.00347  +0.00412  +0.00000     0.969     1.117    1.001    2.9%   12.0%    0.8%  20/20
       0.8    0%   2000  40  0.186   225  +0.00307  -0.00006  +0.00179  +0.00062  -0.00002     0.992     1.073    1.005    1.5%    6.5%    1.5%  20/20
       0.8    0%  10000   2  0.690  4827  +0.17455  +0.01872        --  +0.05590        --     0.650        --    1.006   34.8%      --    1.3%  0/20
       0.8    0%  10000   4  0.548  3841  +0.10100  +0.00831        --  +0.03326        --     0.789        --    0.990   21.0%      --    0.8%  0/20
       0.8    0%  10000   8  0.405  2834  +0.04802  +0.00234        --  +0.01547        --     0.903        --    1.001   10.2%      --    1.1%  0/20
       0.8    0%  10000  20  0.246  1720  +0.01299  +0.00017        --  +0.00365        --     0.969        --    0.999    3.1%      --    0.7%  0/20
       0.8    0%  10000  40  0.188  1102  +0.00442  -0.00001  +0.00162  +0.00094  -0.00000     0.992     1.075    1.003    1.3%    7.2%    0.8%  18/20
       0.8   20%    500   2  0.748   230  +0.13270  +0.00928  +0.05418  +0.04337  -0.00005     0.629     1.441    0.903   37.3%   43.4%   10.2%  20/20
       0.8   20%    500   4  0.585   184  +0.08693  +0.00654  +0.02707  +0.02864  -0.00005     0.790     1.354    0.989   20.5%   37.2%    2.9%  20/20
       0.8   20%    500   8  0.434   140  +0.04003  -0.00068  +0.02427  +0.00492  -0.00032     0.894     1.270    1.008   11.5%   26.5%    5.1%  20/20
       0.8   20%    500  20  0.263    88  +0.01640  -0.00160  +0.00642  -0.00267  -0.00082     0.974     1.129    1.011    2.7%   12.9%    2.8%  20/20
       0.8   20%    500  40  0.169    55  +0.02190  -0.00197  +0.00106  -0.00010  +0.00149     1.017     1.103    1.039    2.3%   10.3%    3.9%  20/20
       0.8   20%   2000   2  0.746   911  +0.14669  +0.01092  +0.04034  +0.04387  +0.00000     0.646     1.447    0.899   35.4%   45.0%   10.1%  20/20
       0.8   20%   2000   4  0.590   741  +0.08435  +0.00490  +0.02899  +0.02652  -0.00001     0.788     1.348    0.960   21.3%   34.8%    4.1%  20/20
       0.8   20%   2000   8  0.433   553  +0.04279  +0.00150  +0.01185  +0.01354  -0.00000     0.887     1.218    0.983   10.4%   23.2%    2.9%  20/20
       0.8   20%   2000  20  0.268   351  +0.01038  -0.00065  +0.00598  +0.00197  -0.00003     0.953     1.113    0.988    4.7%   11.4%    1.8%  20/20
       0.8   20%   2000  40  0.170   226  +0.00360  -0.00031  +0.00183  +0.00140  +0.00020     1.007     1.093    1.019    1.8%    9.2%    1.9%  20/20
       0.8   20%  10000   2  0.748  4592  +0.14083  +0.01195        --  +0.04599        --     0.651        --    0.910   34.8%      --    8.7%  0/20
       0.8   20%  10000   4  0.590  3722  +0.08712  +0.00648        --  +0.03051        --     0.788        --    0.966   21.3%      --    3.3%  0/20
       0.8   20%  10000   8  0.432  2770  +0.04309  +0.00163        --  +0.01296        --     0.891        --    0.989   11.1%      --    1.3%  0/20
       0.8   20%  10000  20  0.260  1696  +0.01291  +0.00023        --  +0.00395        --     0.973        --    1.004    3.1%      --    1.2%  0/20
       0.8   20%  10000  40  0.167  1104  +0.00383  +0.00002  +0.00103  +0.00121  +0.00000     0.987     1.067    0.998    1.5%    6.5%    0.5%  18/20
       0.8   40%    500   2  0.788   217  +0.10195  -0.00358  +0.06698  +0.01903  -0.00021     0.660     1.411    0.878   34.6%   39.3%   13.4%  20/20
       0.8   40%    500   4  0.629   178  +0.07467  +0.00467  +0.02389  +0.02749  -0.00002     0.790     1.339    0.972   21.1%   34.3%    3.6%  20/20
       0.8   40%    500   8  0.456   135  +0.03518  -0.00205  +0.02033  +0.00577  -0.00008     0.914     1.259    1.028    8.6%   26.4%    3.4%  20/20
